,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
253011,I172022731,3301,Verbal Disputes,VERBAL DISPUTE,D14,803,,2017-03-23 16:32:00,2017,3,Thursday,16,Part Three,CAMBRIDGE ST,42.35468361,-71.13474620000001,"(42.35468361, -71.13474620)"
328015,I162048850,3410,Towed,TOWED MOTOR VEHICLE,D14,768,,2016-06-20 10:41:00,2016,6,Monday,10,Part Three,N BEACON ST,42.3572303,-71.15321998,"(42.35723030, -71.15321998)"
121162,I182054704,3502,Missing Person Located,MISSING PERSON - LOCATED,E18,495,,2018-07-11 22:28:00,2018,7,Wednesday,22,Part Three,GREENWOOD CIR,42.264856,-71.11999001,"(42.26485600, -71.11999001)"
172961,I182000178,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,281,,2018-01-01 16:28:00,2018,1,Monday,16,Part Two,DUDLEY ST,42.3285094,-71.08043739,"(42.32850940, -71.08043739)"
310597,I162067541,3201,Property Lost,PROPERTY - LOST,D14,762,,2016-08-20 17:16:00,2016,8,Saturday,17,Part Three,LAKE ST,42.34725777,-71.16152132,"(42.34725777, -71.16152132)"
344071,I162031664,3301,Verbal Disputes,VERBAL DISPUTE,A1,85,,2016-04-24 01:46:00,2016,4,Sunday,1,Part Three,N MARGIN ST,42.36490476,-71.05671873,"(42.36490476, -71.05671873)"
415660,I152061677,617,Larceny,LARCENY THEFT FROM BUILDING,D4,142,,2015-07-26 00:50:00,2015,7,Sunday,0,Part One,BOYLSTON ST,42.34783501,-71.08595518,"(42.34783501, -71.08595518)"
129330,I182046202,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,130,,2018-06-14 10:59:00,2018,6,Thursday,10,Part Two,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
405142,I152073225,616,Larceny,LARCENY THEFT OF BICYCLE,C6,226,,2015-09-03 13:40:00,2015,9,Thursday,13,Part One,E BROADWAY,42.33561661,-71.03641895,"(42.33561661, -71.03641895)"
111035,I182065440,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,C6, ,,2018-08-16 15:17:00,2018,8,Thursday,15,Part Three,DORCHESTER ST,,,"(0.00000000, 0.00000000)"
298111,I162081026,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,C6,191,,2016-10-03 19:00:00,2016,10,Monday,19,Part Three,DORCHESTER AVE,42.32949944,-71.05701312,"(42.32949944, -71.05701312)"
201320,I172077735,619,Larceny,LARCENY ALL OTHERS,D4,147,,2017-09-18 15:21:00,2017,9,Monday,15,Part One,WELLINGTON ST,42.34153413,-71.08174368,"(42.34153413, -71.08174368)"
177252,I172103243,1402,Vandalism,VANDALISM,D4,274,,2017-12-13 18:05:00,2017,12,Wednesday,18,Part Two,COLUMBUS AVE,42.33894226,-71.08368605,"(42.33894226, -71.08368605)"
289615,I162090040,2006,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W ARREST,C11,396,,2016-11-03 10:19:00,2016,11,Thursday,10,Part Two,ROSELAND ST,42.29115845,-71.0633908,"(42.29115845, -71.06339080)"
